type,region,thread,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38
bb_id,51,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,52,0,26,26,26,3348517,26,26,26,26,1703936,1703936,1338473,286,286,260,135,,,,,,,,,,,,,,,,,,,,,,,
csv,52,0,99563190,99563191,99563431,100000010,97137813,97137814,99563177,99563180,99563146,99563174,99563169,99563419,99563429,99563411,99563425,,,,,,,,,,,,,,,,,,,,,,,
bb_id,52,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,53,0,25,25,25,3368183,26,26,25,25,1697899,1697898,1334060,275,275,250,154,,,,,,,,,,,,,,,,,,,,,,,
csv,53,0,96350074,96350075,96350315,97792107,97792110,97792111,96350061,96350064,99999999,99999985,100000022,96350303,96350313,96350295,96350309,,,,,,,,,,,,,,,,,,,,,,,
bb_id,53,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,54,0,26,26,26,3407872,26,26,26,26,1686299,1686299,1324650,286,286,260,156,,,,,,,,,,,,,,,,,,,,,,,
csv,54,0,97007653,97007654,97007888,98449680,98449683,98449684,97007640,97007643,99999986,99999972,100000009,97007876,97007886,97007868,97007882,,,,,,,,,,,,,,,,,,,,,,,
bb_id,54,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,55,0,26,26,26,3407872,26,26,26,26,1686114,1686114,1324804,286,286,260,152,,,,,,,,,,,,,,,,,,,,,,,
csv,55,0,97667992,97667993,97668233,99110025,99110028,99110029,97667979,97667982,99999989,99999975,100000012,97668221,97668231,97668213,97668227,,,,,,,,,,,,,,,,,,,,,,,
bb_id,55,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,56,0,26,26,26,3407872,26,26,26,26,1686188,1686188,1324737,286,286,260,175,,,,,,,,,,,,,,,,,,,,,,,
csv,56,0,98325609,98325610,98325838,99767630,99767633,99767634,98325596,98325599,99999992,99999978,100000015,98325826,98325836,98325818,98325832,,,,,,,,,,,,,,,,,,,,,,,
bb_id,56,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,57,0,26,26,26,3369871,25,25,26,26,1697644,1697645,1333450,286,286,260,164,,,,,,,,,,,,,,,,,,,,,,,
csv,57,0,98975974,98975975,98976221,100000002,96546549,96546550,98975961,98975964,98975930,98975958,98975953,98976209,98976219,98976201,98976215,,,,,,,,,,,,,,,,,,,,,,,
bb_id,57,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,58,0,26,26,26,3348745,26,26,26,26,1703936,1703936,1338350,286,286,260,187,,,,,,,,,,,,,,,,,,,,,,,
csv,58,0,99626370,99626371,99626617,100000001,97196048,97196049,99626357,99626360,99626326,99626354,99626349,99626605,99626615,99626597,99626611,,,,,,,,,,,,,,,,,,,,,,,
bb_id,58,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,59,0,25,25,25,3373928,26,26,25,25,1696482,1696482,1332484,275,275,250,146,,,,,,,,,,,,,,,,,,,,,,,
csv,59,0,96401888,96401889,96402123,97843915,97843918,97843919,96401875,96401878,99999975,100000003,99999998,96402111,96402121,96402103,96402117,,,,,,,,,,,,,,,,,,,,,,,
bb_id,59,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,60,0,26,26,26,3407872,26,26,26,26,1686678,1686677,1324345,286,286,260,127,,,,,,,,,,,,,,,,,,,,,,,
csv,60,0,97043706,97043707,97043947,98485739,98485742,98485743,97043693,97043696,99999993,99999979,100000016,97043935,97043945,97043927,97043941,,,,,,,,,,,,,,,,,,,,,,,
bb_id,60,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
