machine,input_size,benchmark,rid,run_id,runtime(ns)
summer,A,lu_A,1026,4,7156138
summer,A,lu_A,1026,3,7287260
summer,A,mg_A,2,0,9865293
summer,A,mg_A,2,4,9583599
summer,A,mg_A,2,3,9704606
summer,A,mg_A,2,1,9817270
summer,A,mg_A,2,2,9613439
summer,A,mg_A,7,1,11694563
summer,A,mg_A,7,2,11273738
summer,A,mg_A,7,0,11183878
summer,A,mg_A,7,3,11399172
summer,A,mg_A,7,4,12033553
summer,A,mg_A,23,4,10532437
summer,A,mg_A,23,3,9809429
summer,A,mg_A,23,0,9425480
summer,A,mg_A,23,2,10129258
summer,A,mg_A,23,1,9676984
summer,A,bt_A,656,1,6352172
summer,A,bt_A,656,2,6431631
summer,A,bt_A,656,0,6404604
summer,A,bt_A,656,3,6417711
summer,A,bt_A,656,4,6464623
summer,A,bt_A,1069,1,6705744
summer,A,bt_A,1069,2,6694394
summer,A,bt_A,1069,0,6706491
summer,A,bt_A,1069,4,6658895
summer,A,bt_A,1069,3,6665025
summer,A,bt_A,1529,2,6939707
summer,A,bt_A,1529,1,6965000
summer,A,bt_A,1529,4,6959310
summer,A,bt_A,1529,3,6964532
summer,A,bt_A,1529,0,6806183
summer,A,bt_A,1941,4,6400100
summer,A,bt_A,1941,3,6261056
summer,A,bt_A,1941,0,6373340
summer,A,bt_A,1941,2,6427749
summer,A,bt_A,1941,1,6425639
summer,A,bt_A,1070,1,6791361
summer,A,bt_A,1070,2,6794050
summer,A,bt_A,1070,0,6815555
summer,A,bt_A,1070,3,6818033
summer,A,bt_A,1070,4,6796885
summer,A,bt_A,748,2,6991188
summer,A,bt_A,748,1,6858503
summer,A,bt_A,748,3,6814878
summer,A,bt_A,748,4,6773832
summer,A,bt_A,748,0,6779446
summer,A,bt_A,1644,2,6248975
summer,A,bt_A,1644,1,6107779
summer,A,bt_A,1644,4,6269247
summer,A,bt_A,1644,3,6293165
summer,A,bt_A,1644,0,6247788
summer,A,bt_A,859,2,6487432
summer,A,bt_A,859,1,6529118
summer,A,bt_A,859,4,6564184
summer,A,bt_A,859,3,6559814
summer,A,bt_A,859,0,6520460
summer,A,bt_A,793,2,6401877
summer,A,bt_A,793,1,6244918
summer,A,bt_A,793,4,6369631
summer,A,bt_A,793,3,6380203
summer,A,bt_A,793,0,6370599
summer,A,bt_A,21,0,6636318
summer,A,bt_A,21,3,6568895
summer,A,bt_A,21,4,6604216
summer,A,bt_A,21,1,6611801
summer,A,bt_A,21,2,6663604
summer,A,bt_A,1537,1,6959790
summer,A,bt_A,1537,2,6964836
summer,A,bt_A,1537,0,7152632
summer,A,bt_A,1537,4,7078533
summer,A,bt_A,1537,3,7014954
summer,A,bt_A,669,2,6953440
summer,A,bt_A,669,1,6911721
summer,A,bt_A,669,4,7025009
summer,A,bt_A,669,3,6976222
summer,A,bt_A,669,0,6911181
summer,A,bt_A,1804,1,6348552
summer,A,bt_A,1804,2,6397240
summer,A,bt_A,1804,0,6269836
summer,A,bt_A,1804,3,6482509
summer,A,bt_A,1804,4,6322654
summer,A,bt_A,1899,3,6750711
summer,A,bt_A,1899,4,6736694
summer,A,bt_A,1899,0,6757506
summer,A,bt_A,1899,2,6741119
summer,A,bt_A,1899,1,6739892
summer,A,bt_A,500,1,6749355
summer,A,bt_A,500,2,6755106
summer,A,bt_A,500,0,6713918
summer,A,bt_A,500,3,6781307
summer,A,bt_A,500,4,6686231
summer,A,bt_A,339,1,7159169
summer,A,bt_A,339,2,7359790
summer,A,bt_A,339,0,7163507
summer,A,bt_A,339,3,7280726
summer,A,bt_A,339,4,7147591
summer,A,bt_A,320,0,6454313
summer,A,bt_A,320,4,6494903
summer,A,bt_A,320,3,6452518
summer,A,bt_A,320,1,6449719
summer,A,bt_A,320,2,6403317
summer,A,bt_A,569,2,7112105
summer,A,bt_A,569,1,7311872
summer,A,bt_A,569,4,7110802
summer,A,bt_A,569,3,7108558
summer,A,bt_A,569,0,7055978
summer,A,bt_A,9,1,6143748
summer,A,bt_A,9,2,6082792
summer,A,bt_A,9,0,6134633
summer,A,bt_A,9,4,6199125
summer,A,bt_A,9,3,6086941
summer,A,bt_A,1428,0,6903289
summer,A,bt_A,1428,3,6901955
summer,A,bt_A,1428,4,6900433
summer,A,bt_A,1428,1,7050533
summer,A,bt_A,1428,2,6937978
summer,A,bt_A,671,0,6813854
summer,A,bt_A,671,4,6751582
summer,A,bt_A,671,3,6768163
summer,A,bt_A,671,1,6780736
summer,A,bt_A,671,2,6778305
summer,A,bt_A,453,4,6437819
summer,A,bt_A,453,3,6402718
summer,A,bt_A,453,0,6393503
summer,A,bt_A,453,2,6445608
summer,A,bt_A,453,1,6395611
summer,A,bt_A,1484,3,6284061
summer,A,bt_A,1484,4,6170250
summer,A,bt_A,1484,0,6167362
summer,A,bt_A,1484,2,6224627
summer,A,bt_A,1484,1,6682942
summer,A,bt_A,121,3,7030617
summer,A,bt_A,121,4,7051357
summer,A,bt_A,121,0,7032165
summer,A,bt_A,121,2,7066092
summer,A,bt_A,121,1,7047297
summer,A,bt_A,1249,0,6873596
summer,A,bt_A,1249,3,6894029
summer,A,bt_A,1249,4,6801265
summer,A,bt_A,1249,1,6874782
summer,A,bt_A,1249,2,6895652
summer,A,bt_A,294,2,6213622
summer,A,bt_A,294,1,6324896
summer,A,bt_A,294,3,6344039
summer,A,bt_A,294,4,6248159
summer,A,bt_A,294,0,6418182
summer,A,bt_A,980,0,7020805
summer,A,bt_A,980,3,6963011
summer,A,bt_A,980,4,7001973
summer,A,bt_A,980,1,6999227
summer,A,bt_A,980,2,6989969
summer,A,bt_A,1108,4,7298440
summer,A,bt_A,1108,3,7358935
summer,A,bt_A,1108,0,7297202
summer,A,bt_A,1108,2,7196733
summer,A,bt_A,1108,1,7169997
summer,A,bt_A,501,3,6802792
summer,A,bt_A,501,4,6737354
summer,A,bt_A,501,0,6809584
summer,A,bt_A,501,2,6740620
summer,A,bt_A,501,1,6747585
summer,A,bt_A,167,4,6321461
summer,A,bt_A,167,3,6320825
summer,A,bt_A,167,0,6336095
summer,A,bt_A,167,2,6376733
summer,A,bt_A,167,1,6350247
summer,A,is_A,12,2,40850908
summer,A,is_A,12,1,39936525
summer,A,is_A,12,4,37803281
summer,A,is_A,12,3,40851647
summer,A,is_A,12,0,38721723
summer,A,is_A,15,0,48342658
summer,A,is_A,15,4,46808095
summer,A,is_A,15,3,48916020
summer,A,is_A,15,1,51243979
summer,A,is_A,15,2,46512894
summer,A,is_A,9,3,238789109
summer,A,is_A,9,4,242610455
summer,A,is_A,9,0,221931772
summer,A,is_A,9,2,209302875
summer,A,is_A,9,1,207968087
summer,A,ft_A,6,1,8486392
summer,A,ft_A,6,2,8641953
summer,A,ft_A,6,0,8511938
summer,A,ft_A,6,3,8832342
summer,A,ft_A,6,4,8345627
summer,A,ft_A,13,2,6408913
